voiceID,meanF0Hz,stdevF0Hz,HNR,CPPs,Jitter,Shimmer,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
voice105.wav,186.77971247194773,1.5013370301522195,14.226267753416778,13.284622490621079,0.04266114472395476,-0.3145861954743676,-157.17808532714844,50.16218566894531,-19.519027709960938,-24.7185115814209,-3.6291935443878174,-4.513551235198975,-8.1309232711792,-7.339794158935547,-33.30519104003906,-7.7277655601501465,-8.736998558044434,-15.48058032989502,-17.803834915161133,-12.080086708068848
voice106.wav,228.42286779510104,1.3971712049634237,19.083244368494704,15.43671319006768,-1.0044126891297613,-0.020711084816483063,-146.7162322998047,38.588382720947266,-38.14866638183594,-21.981855392456055,-2.4839067459106445,-29.684415817260742,6.0120015144348145,-9.763900756835938,-35.63801574707031,-17.03147315979004,-19.231948852539062,-13.225944519042969,-28.61726188659668,-7.279449939727783
voice107.wav,228.33383167432606,0.8103265097244515,18.664603992388642,15.246171687852966,-1.1467132279021899,0.056431972672081956,-147.09117126464844,40.86632537841797,-40.47381591796875,-21.609943389892578,-0.04962896555662155,-27.43113136291504,0.9660046100616455,-9.496431350708008,-37.56064987182617,-14.832098960876465,-18.809734344482422,-11.833070755004883,-26.226333618164062,-7.998692512512207
voice108.wav,228.4750929956832,0.7330013616654765,18.873862106010932,15.039994955352965,-1.0746158296239052,0.034000974727772394,-150.5277099609375,42.8524169921875,-44.48661804199219,-22.287227630615234,2.5287156105041504,-22.710838317871094,-1.7197660207748413,-6.882007122039795,-36.91169357299805,-14.933099746704102,-19.012535095214844,-9.280945777893066,-26.558582305908203,-8.91564655303955
voice109.wav,297.903138494982,1.487580051848825,22.117771851853885,13.858953154504473,-1.180337994388744,-0.27952032359108,-178.7700653076172,70.17434692382812,-73.79078674316406,-6.590567111968994,-5.1912970542907715,-17.936321258544922,-19.297924041748047,1.7378325462341309,-34.358646392822266,-13.947738647460938,-7.120471954345703,-15.73250675201416,-22.58979606628418,-35.70369338989258
voice110.wav,297.16451440977994,1.1111510895293364,22.157062169814033,13.956921645080474,-1.2416225468592361,-0.18440162355903508,-171.1676788330078,62.65623474121094,-72.6889419555664,-6.121798992156982,-7.232274532318115,-18.832544326782227,-24.034385681152344,-1.1608221530914307,-27.238658905029297,-15.994139671325684,-1.298839807510376,-18.745132446289062,-17.519634246826172,-38.30855178833008
voice111.wav,297.173422073543,1.4925519549840605,21.059368101296158,13.725346710884473,-1.1857455581728409,-0.2381798496869843,-162.85032653808594,61.28165054321289,-71.04351806640625,-10.035550117492676,-5.468348503112793,-22.107168197631836,-22.602975845336914,-4.29941987991333,-25.126646041870117,-17.750146865844727,5.5841450691223145,-19.036808013916016,-15.859193801879883,-38.84769821166992
voice112.wav,210.73700554690717,2.231474893623925,19.53349408103133,17.242099518403165,-1.4716095721534386,0.11347579142473094,-159.5372314453125,61.2574577331543,-57.67555236816406,-6.929987907409668,-6.173319339752197,-14.180319786071777,-21.08063316345215,0.20117051899433136,-22.767759323120117,-16.302963256835938,-11.026154518127441,-8.030008316040039,-16.51498031616211,-7.221880912780762
voice113.wav,209.53801203898007,1.8571365693033854,14.071715946774981,14.51869247422092,0.22004884835616878,-0.5006003026649201,-150.70440673828125,68.8221206665039,-67.87125396728516,-4.232545375823975,-7.783885478973389,-14.677643775939941,-18.09204864501953,-4.869383335113525,-26.14765739440918,-17.074949264526367,-15.723489761352539,-11.853279113769531,-17.50841522216797,-5.608530044555664
voice114.wav,209.76670275711808,1.5452105603315383,17.047804214027916,14.49472011722297,-0.5548739279272644,-0.336203564730652,-163.0194091796875,75.06719970703125,-53.320308685302734,-12.435941696166992,4.673670291900635,-10.95999813079834,-20.888973236083984,1.7796519994735718,-30.38219451904297,-7.4544901847839355,-16.64649200439453,-15.716279983520508,-16.145832061767578,-5.299314022064209
voice115.wav,181.80583904493005,1.6298646362799907,17.703324909803207,19.426173988950904,-1.3568299907643913,0.09602649452028467,-90.22425842285156,27.941036224365234,-25.356552124023438,-43.36181640625,1.7207567691802979,-15.424589157104492,-20.53573226928711,13.785917282104492,-24.495901107788086,-23.557798385620117,-18.47612190246582,-13.618183135986328,-18.80789566040039,-24.191219329833984
voice116.wav,181.03473324776758,1.1348494954521025,16.338045866501993,19.558130391498,-1.576831126073379,0.3250476931484729,-84.53067779541016,28.66412925720215,-19.108369827270508,-53.77264404296875,8.420615196228027,-16.763917922973633,-17.040660858154297,12.187368392944336,-20.393556594848633,-23.555240631103516,-16.434974670410156,-11.91405200958252,-23.307939529418945,-28.31383514404297
voice117.wav,181.00706197025391,0.7993614159421056,17.504376584606554,19.73464119269824,-1.2615198654754305,0.19412253141288116,-83.89553833007812,26.58496856689453,-24.34920310974121,-56.663429260253906,6.882717609405518,-16.78388023376465,-15.385906219482422,11.569246292114258,-18.61745262145996,-23.788761138916016,-16.578182220458984,-10.328887939453125,-25.660722732543945,-28.033843994140625
voice118.wav,201.8741308693457,0.8394174440139139,19.799851096087583,15.02308323220931,-0.5026589518413017,-0.26068371820401726,-149.51014709472656,83.89810943603516,-45.3453369140625,-31.262033462524414,1.1200882196426392,0.8528541922569275,-24.642427444458008,4.266854286193848,-36.55305480957031,-8.107813835144043,-16.657276153564453,-9.252223014831543,-19.047130584716797,-9.603989601135254
voice119.wav,201.61660444187612,1.087499541999651,19.878681031496455,15.229333857887925,-0.5627591272477996,-0.3366739202373234,-149.20529174804688,85.49598693847656,-47.866844177246094,-32.939571380615234,3.7615878582000732,-0.7227333784103394,-25.39019775390625,2.4856858253479004,-37.39863204956055,-5.630255699157715,-18.798046112060547,-7.874762535095215,-18.36910629272461,-9.313764572143555
voice120.wav,201.76569402785177,0.9306647558320692,19.37207828057087,14.857453413448388,-0.5707052723066882,-0.3276668364987099,-144.8216552734375,88.89091491699219,-46.85337448120117,-34.6102180480957,7.913287162780762,-1.1119245290756226,-24.627946853637695,3.7495222091674805,-33.00368118286133,-4.090946197509766,-16.593965530395508,-6.651126861572266,-17.675344467163086,-10.008709907531738
